index,Long,Lat,UTM_X,UTM_Y
88,127.07767299999999,37.5414083,330170.9653045629,4156671.6458409545
89,127.0776738,37.5414088,330171.03712253785,4156671.699875202
90,127.0776746,37.5414092,330171.108713581,4156671.7428134833
91,127.0776755,37.5414098,330171.1895938988,4156671.807762998
92,127.0776763,37.541410299999995,330171.26141187083,4156671.861797245
93,127.07767709999999,37.5414108,330171.3332298399,4156671.915831495
94,127.0776779,37.5414114,330171.4052747385,4156671.98096171
95,127.07767869999999,37.541412,330171.477319636,4156672.046091924
96,127.0776794,37.5414126,330171.5405291168,4156672.111402836
97,127.0776801,37.541413299999995,330171.6039655225,4156672.1878097137
98,127.07768069999999,37.541413999999996,330171.6585665117,4156672.264397288
99,127.0776813,37.5414148,330171.71339443023,4156672.3520808276
100,127.0776818,37.5414156,330171.7593869324,4156672.4399450663
101,127.0776824,37.5414165,330171.81444177433,4156672.53872457
102,127.0776829,37.5414173,330171.86043427454,4156672.626588808
103,127.0776834,37.5414181,330171.90642677154,4156672.714453046
104,127.07768399999999,37.541419,330171.9614816102,4156672.813232553
105,127.0776844,37.5414199,330171.9988656204,4156672.9123734524
106,127.0776849,37.541420699999996,330172.04485811456,4156673.0002376903
107,127.0776854,37.5414216,330172.0910775376,4156673.0991978943
108,127.07768589999999,37.541422499999996,330172.13729695743,4156673.1981580984
109,127.0776863,37.5414233,330172.1744540344,4156673.2862030324
110,127.0776867,37.5414242,330172.2118380404,4156673.3853439344
111,127.077687,37.5414251,330172.2403866292,4156673.4846655293
112,127.0776873,37.541426,330172.26893521746,4156673.5839871275
113,127.0776877,37.5414269,330172.30631922116,4156673.683128027
114,127.077688,37.5414277,330172.3346408809,4156673.7713536597
115,127.0776882,37.541428599999996,330172.35435405356,4156673.8708559526
116,127.07768859999999,37.5414294,330172.39151112584,4156673.9589008875
117,127.07768879999999,37.5414302,330172.4109973704,4156674.047307216
118,127.0776891,37.5414311,330172.4395459574,4156674.1466288134
119,127.07768929999999,37.541432,330172.4592591283,4156674.2461311063
120,127.0776896,37.5414329,330172.4878077119,4156674.345452704
121,127.0776899,37.5414337,330172.51612936787,4156674.433678337
122,127.0776901,37.541434699999996,330172.53606946673,4156674.544276594
123,127.0776904,37.5414357,330172.5648449758,4156674.654694158
124,127.07769069999999,37.541436499999996,330172.59316663013,4156674.7429197906
125,127.07769099999999,37.5414375,330172.62194213783,4156674.8533373526
126,127.07769119999999,37.5414384,330172.6416553055,4156674.9528396456
127,127.0776916,37.5414393,330172.6790392998,4156675.0519805485
128,127.07769189999999,37.5414402,330172.70758787874,4156675.1513021467
129,127.0776923,37.541441,330172.7447449424,4156675.2393470844
130,127.0776928,37.541441999999996,330172.79119127325,4156675.3494032556
131,127.07769329999999,37.5414428,330172.8371837473,4156675.4372674986
132,127.0776937,37.541443699999995,330172.87456773745,4156675.5364084016
