index,Long,Lat,UTM_X,UTM_Y
0,127.0804512,37.5408407,330415.1446104174,4156603.6486702524
1,127.0804512,37.5408408,330415.1448370152,4156603.659766212
2,127.0804513,37.5408407,330415.1534458969,4156603.648489817
3,127.0804513,37.5408408,330415.1536724946,4156603.659585777
4,127.0804513,37.5408408,330415.1536724946,4156603.659585777
5,127.0804513,37.5408407,330415.1534458969,4156603.648489817
6,127.0804514,37.5408408,330415.16250797396,4156603.6594053423
7,127.0804514,37.5408407,330415.1622813763,4156603.648309382
8,127.0804514,37.5408407,330415.1622813763,4156603.648309382
9,127.0804513,37.5408408,330415.1536724946,4156603.659585777
10,127.0804514,37.5408409,330415.16273457167,4156603.670501302
11,127.0804514,37.5408411,330415.16318776703,4156603.6926932205
12,127.0804514,37.5408415,330415.16409415763,4156603.737077058
13,127.0804515,37.540842,330415.1740626253,4156603.792376419
14,127.0804514,37.5408427,330415.1668133298,4156603.87022857
15,127.08045159999999,37.5408435,330415.1862970693,4156603.958635375
16,127.0804517,37.540844299999996,330415.1969453296,4156604.047222614
17,127.08045179999999,37.540845,330415.2073669921,4156604.1247138954
18,127.0804519,37.5408459,330415.2182418497,4156604.224397094
19,127.080452,37.5408469,330415.22934330476,4156604.3351762523
20,127.080452,37.540847899999996,330415.23160928104,4156604.446135846
21,127.08045229999999,37.5408493,330415.26128808316,4156604.600937973
22,127.08045249999999,37.5408506,330415.2819048108,4156604.7448245743
23,127.0804529,37.5408518,330415.3199658942,4156604.8772543473
24,127.0804529,37.5408532,330415.32313826005,4156605.032597779
25,127.0804532,37.5408548,330415.35327025416,4156605.209591823
26,127.0804534,37.5408562,330415.37411357695,4156605.3645743844
27,127.0804536,37.5408577,330415.39518349455,4156605.530652906
28,127.0804538,37.5408592,330415.4162534115,4156605.696731427
29,127.0804541,37.5408609,330415.44661199977,4156605.884821431
30,127.0804544,37.540862499999996,330415.4767439895,4156606.061815477
31,127.0804544,37.540864299999996,330415.48082274327,4156606.2615427463
32,127.080455,37.540866,330415.53768776054,4156606.4490914484
33,127.080455,37.5408676,330415.54131331854,4156606.6266267984
34,127.08045539999999,37.540869199999996,330415.5802807809,4156606.803440409
35,127.08045569999999,37.5408709,330415.6106393633,4156606.9915304156
36,127.080456,37.5408726,330415.64099794684,4156607.179620421
37,127.08045639999999,37.5408744,330415.68041859986,4156607.378625952
38,127.08045689999999,37.540875899999996,330415.7279949349,4156607.54416317
39,127.08045729999999,37.540877699999996,330415.767415587,4156607.7431686996
40,127.0804577,37.5408793,330415.80638304097,4156607.9199823136
41,127.0804582,37.540881299999995,330415.8550923588,4156608.140999329
42,127.0804586,37.5408828,330415.89383321267,4156608.3067169827
43,127.08045919999999,37.5408846,330415.95092480467,4156608.505361646
44,127.0804596,37.5408861,330415.98966565775,4156608.6710793
45,127.08046019999999,37.5408878,330416.0465306487,4156608.858628005
46,127.08046069999999,37.5408895,330416.09456016374,4156609.0463571437
47,127.0804611,37.5408913,330416.1339808025,4156609.2453626757
48,127.0804617,37.540892899999996,330416.1906191928,4156609.4218154214
49,127.0804622,37.5408946,330416.2386487023,4156609.6095445626
50,127.08046259999999,37.5408963,330416.27784273704,4156609.797454135
51,127.0804632,37.540898,330416.3347077178,4156609.9850028423
52,127.08046359999999,37.540899599999996,330416.3736751528,4156610.1618164564
53,127.0804642,37.5409012,330416.43031353306,4156610.3382692053
54,127.0804647,37.5409029,330416.47834303335,4156610.525998344
55,127.0804651,37.5409046,330416.51753705984,4156610.7139079208
56,127.08046569999999,37.540906299999996,330416.57440203044,4156610.901456627
57,127.08046619999999,37.5409082,330416.62288471765,4156611.111377688
58,127.08046669999999,37.5409098,330416.6706876141,4156611.2880108715
59,127.0804673,37.540911699999995,330416.72800577065,4156611.497751499
60,127.0804677,37.5409133,330416.76697319467,4156611.6745651155
61,127.08046829999999,37.540915,330416.82383815246,4156611.862113825
62,127.0804687,37.5409167,330416.8630321693,4156612.0500234016
63,127.08046909999999,37.5409186,330416.90267937223,4156612.2601248967
64,127.0804697,37.540920299999996,330416.95954432606,4156612.4476736076
65,127.0804701,37.5409222,330416.9991915299,4156612.657775103
66,127.0804708,37.5409238,330417.06466535095,4156612.834047421
67,127.08047099999999,37.540925699999995,330417.0866416101,4156613.0445097834
68,127.0804716,37.540927499999995,330417.1437331514,4156613.243154454
69,127.080472,37.5409291,330417.1827005589,4156613.419968074
70,127.0804723,37.5409311,330417.21373888117,4156613.6413459624
71,127.08047289999999,37.5409327,330417.270377223,4156613.8177987156
