index,Long,Lat,UTM_X,UTM_Y
0,127.08046789999999,37.5409216,330416.80345161154,4156612.595168882
1,127.080468,37.5409216,330416.8122870837,4156612.594988448
2,127.080468,37.5409216,330416.8122870837,4156612.594988448
3,127.08046789999999,37.5409216,330416.80345161154,4156612.595168882
4,127.08046789999999,37.5409216,330416.80345161154,4156612.595168882
5,127.080468,37.5409216,330416.8122870837,4156612.594988448
6,127.080468,37.5409217,330416.8125136798,4156612.606084408
7,127.080468,37.5409217,330416.8125136798,4156612.606084408
8,127.080468,37.5409218,330416.8127402759,4156612.617180367
9,127.080468,37.5409218,330416.8127402759,4156612.617180367
10,127.080468,37.5409216,330416.8122870837,4156612.594988448
11,127.08046789999999,37.5409216,330416.80345161154,4156612.595168882
12,127.080468,37.540921999999995,330416.81319346814,4156612.639372287
13,127.080468,37.540922699999996,330416.81477964105,4156612.7170440024
14,127.08046829999999,37.5409236,330416.84332541504,4156612.8163663363
15,127.08046859999999,37.5409246,330416.8720977845,4156612.926784631
16,127.0804687,37.5409258,330416.88365240896,4156613.05975571
17,127.0804689,37.5409272,330416.90449569223,4156613.2147382763
18,127.08046909999999,37.5409286,330416.9253389727,4156613.3697208436
19,127.08046929999999,37.5409303,330416.9468620451,4156613.557991287
20,127.0804697,37.5409321,330416.9862826479,4156613.7569968225
21,127.0804699,37.5409339,330417.00803231454,4156613.9563632263
22,127.0804701,37.5409358,330417.03000857425,4156614.16682559
23,127.08047029999999,37.5409377,330417.051984831,4156614.377287952
24,127.08047069999999,37.5409399,330417.0923118146,4156614.6206773277
25,127.08047099999999,37.5409419,330417.123350135,4156614.8420552174
26,127.0804714,37.540943999999996,330417.16345051944,4156615.0743486346
27,127.08047149999999,37.5409462,330417.1772710927,4156615.3182793087
28,127.080472,37.5409483,330417.226206941,4156615.5503922915
29,127.0804725,37.540950699999996,330417.27582257433,4156615.8157931534
30,127.08047289999999,37.5409528,330417.3159229496,4156616.048086571
31,127.0804733,37.5409551,330417.3564765144,4156616.3025719067
32,127.08047359999999,37.540957299999995,330417.38796801615,4156616.5461417167
33,127.08047409999999,37.5409596,330417.4373570451,4156616.8004466197
34,127.0804745,37.540962,330417.4781371999,4156617.0660279165
35,127.0804751,37.5409644,330417.5365882844,4156617.3312483463
36,127.0804756,37.5409667,330417.5859773037,4156617.58555325
37,127.08047619999999,37.5409693,330417.64488157316,4156617.872965601
38,127.08047669999999,37.5409717,330417.6944971825,4156618.138366465
39,127.08047719999999,37.5409739,330417.74365959864,4156618.3815754103
40,127.08047769999999,37.5409764,330417.79350180045,4156618.6580722346
41,127.0804781,37.5409787,330417.8340553439,4156618.912557573
42,127.08047859999999,37.540981099999996,330417.88367094565,4156619.177958438
43,127.0804792,37.5409834,330417.94189541007,4156619.4320829134
44,127.08047959999999,37.5409858,330417.982675542,4156619.6976642115
45,127.08048009999999,37.5409882,330418.0322911362,4156619.963065077
46,127.0804807,37.5409904,330418.0902889996,4156620.2060935926
47,127.0804811,37.540992599999996,330418.13061593496,4156620.4494829723
48,127.0804816,37.5409948,330418.1797783297,4156620.69269192
49,127.0804821,37.540996799999995,330418.2284875345,4156620.913708949
50,127.08048249999999,37.5409988,330418.2683612744,4156621.134906411
51,127.080483,37.541000499999996,330418.31639069086,4156621.322635562
52,127.0804836,37.5410026,330418.3741619424,4156621.55456812
53,127.08048409999999,37.541004699999995,330418.4230977312,4156621.786681109
54,127.08048459999999,37.5410067,330418.4718069254,4156622.00769814
55,127.080485,37.5410087,330418.5116806556,4156622.228895604
56,127.0804854,37.541010899999996,330418.5520075755,4156622.4722849852
57,127.080486,37.541013199999995,330418.61023200373,4156622.7264094623
58,127.08048649999999,37.5410153,330418.6591677814,4156622.9585224553
59,127.0804869,37.541017499999995,330418.699494695,4156623.201911837
60,127.0804874,37.5410196,330418.7484304684,4156623.4340248294
61,127.0804883,37.5410237,330418.8372399586,4156623.8873352855
62,127.08048889999999,37.5410258,330418.895011183,4156624.119267846
63,127.0804893,37.5410275,330418.9342051158,4156624.307177433
64,127.0804897,37.5410294,330418.97385223315,4156624.517278938
65,127.08049009999999,37.5410312,330419.01327275473,4156624.716284484
66,127.0804905,37.541033,330419.0526932771,4156624.9152900297
