index,Long,Lat,UTM_X,UTM_Y
0,127.0780078,37.5413941,330200.5140591599,4156669.46529197
1,127.07800789999999,37.541394,330200.5226676879,4156669.454015339
2,127.078008,37.541393899999996,330200.5312762159,4156669.4427387095
3,127.078008,37.5413938,330200.53104932664,4156669.4316427456
4,127.07800809999999,37.5413937,330200.53965785477,4156669.4203661154
5,127.0780082,37.5413936,330200.54826638283,4156669.4090894847
6,127.0780082,37.5413935,330200.54803949356,4156669.3979935204
7,127.0780083,37.5413934,330200.5566480217,4156669.3867168897
8,127.0780082,37.541393299999996,330200.5475857151,4156669.375801592
9,127.0780082,37.5413931,330200.5471319366,4156669.353609663
10,127.07800809999999,37.5413929,330200.53784274065,4156669.3315984006
11,127.078008,37.5413925,330200.5280997662,4156669.287395209
12,127.0780078,37.541392099999996,330200.509521374,4156669.243372682
13,127.0780078,37.5413916,330200.50838692754,4156669.1878928603
14,127.07800759999999,37.5413912,330200.48980853515,4156669.1438703346
15,127.07800719999999,37.5413906,330200.45310552616,4156669.0780172115
16,127.07800689999999,37.54139,330200.4252379367,4156669.011983422
17,127.0780066,37.5413894,330200.3973703468,4156668.9459496345
18,127.07800619999999,37.5413888,330200.36066733644,4156668.8800965114
19,127.0780058,37.5413883,330200.3241912172,4156668.8253393536
20,127.0780053,37.5413877,330200.2786527899,4156668.7596668983
21,127.0780049,37.541387199999996,330200.2421766696,4156668.7049097396
22,127.0780044,37.5413867,330200.19686512847,4156668.65033325
23,127.0780037,37.5413862,330200.1338827525,4156668.59611809
24,127.078003,37.5413858,330200.07112726325,4156668.5529988967
25,127.07800239999999,37.5413853,330200.0169803018,4156668.498603072
26,127.0780018,37.541384799999996,330199.9628333419,4156668.4442072473
27,127.07800119999999,37.5413843,330199.9086863791,4156668.389811425
28,127.07800049999999,37.5413838,330199.84570399707,4156668.335596268
29,127.07799969999999,37.5413832,330199.7736593076,4156668.2704658154
30,127.0779989,37.5413827,330199.7018415074,4156668.216431325
31,127.07799809999999,37.5413819,330199.62934303057,4156668.129108944
32,127.0779974,37.5413812,330199.565906866,4156668.05270186
33,127.07799659999999,37.5413806,330199.4938621698,4156667.9875714085
34,127.0779958,37.541379899999995,330199.4215905839,4156667.9113449934
35,127.07799499999999,37.541379299999996,330199.34954588534,4156667.8462145426
36,127.0779941,37.541378699999996,330199.26866576646,4156667.781264759
37,127.0779931,37.541378099999996,330199.17895022937,4156667.716495645
38,127.0779922,37.541377499999996,330199.09807010787,4156667.6515458645
39,127.0779912,37.5413765,330199.00744700106,4156667.542392893
40,127.0779901,37.541375699999996,330198.908442255,4156667.45561252
41,127.07798899999999,37.5413749,330198.80943750695,4156667.3688321477
42,127.07798779999999,37.5413741,330198.7015973371,4156667.2822324443
43,127.07798659999999,37.5413734,330198.5939840567,4156667.206728706
44,127.07798539999999,37.541372599999995,330198.4861438825,4156667.120129005
45,127.0779843,37.5413716,330198.38668534206,4156667.0111567094
