index,Long,Lat,UTM_X,UTM_Y,Cov_00
152,126.314439,33.305805,249958.5045,3688408.52400000,0.00000000
153,126.314438,33.305806,249958.3848,3688408.67400000,0.00000000
154,126.314437,33.305808,249958.2634,3688408.83000000,0.00000000
155,126.314435,33.305809,249958.1468,3688408.99000000,0.00000000
156,126.314434,33.30581,249958.0307,3688409.13800000,0.00000000
157,126.314433,33.305812,249957.9068,3688409.28700000,0.00000000
158,126.314431,33.305813,249957.7799,3688409.43300000,0.00000000
159,126.31443,33.305814,249957.6504,3688409.58200000,0.00000000
160,126.314428,33.305816,249957.5194,3688409.73200000,0.00000000
161,126.314427,33.305817,249957.3865,3688409.88100000,0.00000000
162,126.314425,33.305818,249957.251,3688410.02300000,0.00000000
163,126.314424,33.305819,249957.1184,3688410.16200000,0.00000000
164,126.314422,33.305821,249956.9821,3688410.30500000,0.00000000
165,126.314421,33.305822,249956.8529,3688410.44200000,0.00000000
166,126.31442,33.305823,249956.7174,3688410.58400000,0.00000000
167,126.314418,33.305824,249956.5844,3688410.73300000,0.00000000
168,126.314417,33.305826,249956.4533,3688410.87900000,0.00000000
169,126.314415,33.305827,249956.3175,3688411.02000000,0.00000000
170,126.314414,33.305828,249956.1757,3688411.16000000,0.00000000
171,126.314412,33.305829,249956.0329,3688411.29600000,0.00000000
172,126.31441,33.305831,249955.8918,3688411.42600000,0.00000000
173,126.314409,33.305832,249955.749,3688411.55000000,0.00000000
174,126.314407,33.305833,249955.6129,3688411.66500000,0.00000000
175,126.314406,33.305834,249955.4556,3688411.78900000,0.00000000
176,126.314404,33.305835,249955.3083,3688411.90100000,0.00000000
177,126.314402,33.305836,249955.158,3688412.01200000,0.00000000
178,126.314401,33.305837,249955.0112,3688412.13200000,0.00000000
179,126.314399,33.305838,249954.86,3688412.25500000,0.00000000
180,126.314398,33.305839,249954.7095,3688412.36900000,0.00000000
181,126.314396,33.30584,249954.5626,3688412.48500000,0.00000000
182,126.314394,33.305841,249954.4215,3688412.59900000,0.00000000
183,126.314393,33.305842,249954.271,3688412.72100000,0.00000000
184,126.314391,33.305843,249954.1215,3688412.84100000,0.00000000
185,126.314389,33.305844,249953.9683,3688412.95900000,0.00000000
186,126.314388,33.305845,249953.8106,3688413.07100000,0.00000000
187,126.314386,33.305846,249953.643,3688413.17700000,0.00000000
188,126.314384,33.305847,249953.4879,3688413.29700000,0.00000000
189,126.314383,33.305848,249953.3399,3688413.42300000,0.00000000
190,126.314381,33.305849,249953.1894,3688413.54400000,0.00000000
191,126.314379,33.30585,249953.0302,3688413.65400000,0.00000000
192,126.314377,33.305851,249952.8707,3688413.76400000,0.00000000
193,126.314376,33.305852,249952.713,3688413.87600000,0.00000000
194,126.314374,33.305853,249952.5484,3688413.98000000,0.00000000
195,126.314372,33.305854,249952.3844,3688414.08400000,0.00000000
196,126.31437,33.305855,249952.2255,3688414.18000000,0.00000000
197,126.314369,33.305855,249952.0591,3688414.27100000,0.00000000
198,126.314367,33.305856,249951.8833,3688414.36000000,0.00000000
199,126.314365,33.305857,249951.7171,3688414.45300000,0.00000000
200,126.314363,33.305858,249951.5486,3688414.55300000,0.00000000
201,126.314361,33.305859,249951.3864,3688414.64800000,0.00000000
202,126.314359,33.305859,249951.2202,3688414.75200000,0.00000000
203,126.314358,33.30586,249951.0542,3688414.85000000,0.00000000
204,126.314356,33.305861,249950.8938,3688414.93900000,0.00000000
205,126.314354,33.305862,249950.7219,3688415.03200000,0.00000000
206,126.314352,33.305863,249950.5464,3688415.12700000,0.00000000
207,126.31435,33.305863,249950.3772,3688415.21900000,0.00000000
208,126.314348,33.305864,249950.2136,3688415.30500000,0.00000000
209,126.314347,33.305865,249950.0401,3688415.38800000,0.00000000
210,126.314345,33.305866,249949.8689,3688415.47200000,0.00000000
211,126.314343,33.305866,249949.699,3688415.55500000,0.00000000
212,126.314341,33.305867,249949.5247,3688415.63700000,0.00000000
213,126.314339,33.305868,249949.3494,3688415.71700000,0.00000000
214,126.314337,33.305868,249949.1859,3688415.79000000,0.00000000
215,126.314335,33.305869,249949.0146,3688415.85000000,0.00000000
216,126.314334,33.305869,249948.8363,3688415.90500000,0.00000000
217,126.314332,33.30587,249948.662,3688415.97400000,0.00000000
218,126.31433,33.30587,249948.4868,3688416.04600000,0.00000000
219,126.314328,33.305871,249948.3046,3688416.12400000,0.00000000
220,126.314326,33.305872,249948.1356,3688416.19300000,0.00000000
221,126.314324,33.305872,249947.9613,3688416.26900000,0.00000000
222,126.314322,33.305873,249947.7949,3688416.36000000,0.00000000
223,126.31432,33.305874,249947.6044,3688416.41500000,0.00000000
224,126.314318,33.305874,249947.4284,3688416.49000000,0.00000000
225,126.314316,33.305875,249947.2465,3688416.55800000,0.00000000
226,126.314314,33.305875,249947.0584,3688416.62500000,0.00000000
227,126.314312,33.305876,249946.8832,3688416.68200000,0.00000000
228,126.31431,33.305876,249946.6939,3688416.73400000,0.00000000
229,126.314308,33.305877,249946.5088,3688416.79900000,0.00000000
230,126.314306,33.305877,249946.3188,3688416.84500000,0.00000000
231,126.314304,33.305878,249946.1261,3688416.89400000,0.00000000
232,126.314302,33.305878,249945.942,3688416.93800000,0.00000000
233,126.3143,33.305878,249945.7497,3688416.97400000,0.00000000
234,126.314298,33.305878,249945.5594,3688417.01100000,0.00000000
235,126.314296,33.305879,249945.3726,3688417.06700000,0.00000000
236,126.314294,33.305879,249945.1781,3688417.09500000,0.00000000
237,126.314292,33.305879,249944.9872,3688417.13700000,0.00000000
238,126.31429,33.30588,249944.7971,3688417.18000000,0.00000000
239,126.314288,33.30588,249944.6014,3688417.22100000,0.00000000
240,126.314286,33.305881,249944.4108,3688417.27100000,0.00000000
241,126.314284,33.305881,249944.2246,3688417.32100000,0.00000000
242,126.314282,33.305881,249944.0422,3688417.36200000,0.00000000
243,126.31428,33.305882,249943.8556,3688417.39600000,0.00000000
244,126.314278,33.305882,249943.6638,3688417.43200000,0.00000000
245,126.314276,33.305882,249943.4714,3688417.48300000,0.00000000
246,126.314273,33.305883,249943.2818,3688417.52100000,0.00000000
247,126.314272,33.305883,249943.099,3688417.56400000,0.00000000
248,126.314269,33.305883,249942.9048,3688417.61000000,0.00000000
249,126.314267,33.305884,249942.7126,3688417.64400000,0.00000000
250,126.314265,33.305884,249942.5204,3688417.66500000,0.00000000
251,126.314263,33.305884,249942.3276,3688417.70000000,0.00000000
252,126.314261,33.305884,249942.1379,3688417.73600000,0.00000000
253,126.314259,33.305884,249941.9549,3688417.77000000,0.00000000
254,126.314257,33.305885,249941.7706,3688417.80400000,0.00000000
255,126.314255,33.305885,249941.5767,3688417.83800000,0.00000000
256,126.314253,33.305885,249941.3793,3688417.85900000,0.00000000
257,126.314251,33.305885,249941.1832,3688417.89200000,0.00000000
258,126.314249,33.305886,249940.9946,3688417.91700000,0.00000000
259,126.314247,33.305886,249940.8114,3688417.94200000,0.00000000
260,126.314245,33.305886,249940.6216,3688417.97400000,0.00000000
261,126.314243,33.305886,249940.4284,3688417.99500000,0.00000000
262,126.314241,33.305886,249940.2365,3688418.03000000,0.00000000
263,126.314239,33.305887,249940.0497,3688418.05300000,0.00000000
264,126.314237,33.305887,249939.8668,3688418.07200000,0.00000000
265,126.314235,33.305887,249939.6829,3688418.09200000,0.00000000
266,126.314233,33.305887,249939.487,3688418.11500000,0.00000000
267,126.314231,33.305887,249939.2992,3688418.15000000,0.00000000
268,126.314228,33.305887,249939.105,3688418.17200000,0.00000000
269,126.314226,33.305888,249938.9206,3688418.20200000,0.00000000
270,126.314224,33.305888,249938.7276,3688418.23100000,0.00000000
271,126.314222,33.305888,249938.5358,3688418.25200000,0.00000000
272,126.31422,33.305888,249938.3417,3688418.27400000,0.00000000
273,126.314218,33.305888,249938.1539,3688418.30900000,0.00000000
274,126.314216,33.305889,249937.9597,3688418.33100000,0.00000000
275,126.314214,33.305889,249937.7748,3688418.34100000,0.00000000
276,126.314212,33.305889,249937.586,3688418.34600000,0.00000000
277,126.31421,33.305889,249937.3962,3688418.35100000,0.00000000
278,126.314208,33.305889,249937.1984,3688418.35600000,0.00000000
279,126.314206,33.305889,249936.9988,3688418.36100000,0.00000000
280,126.314204,33.305889,249936.8114,3688418.36600000,0.00000000
281,126.314202,33.305889,249936.6222,3688418.37800000,0.00000000
282,126.3142,33.305889,249936.4385,3688418.39100000,0.00000000
283,126.314198,33.305889,249936.2401,3688418.38100000,0.00000000
284,126.314196,33.305889,249936.0419,3688418.38600000,0.00000000
285,126.314193,33.305888,249935.8463,3688418.36100000,0.00000000
286,126.314191,33.305888,249935.6613,3688418.33600000,0.00000000
287,126.314189,33.305888,249935.4677,3688418.30100000,0.00000000
288,126.314187,33.305887,249935.2795,3688418.25800000,0.00000000
289,126.314185,33.305887,249935.0983,3688418.21700000,0.00000000
290,126.314183,33.305887,249934.9105,3688418.17700000,0.00000000
291,126.314181,33.305886,249934.7236,3688418.12400000,0.00000000
292,126.31418,33.305885,249934.5451,3688418.06000000,0.00000000
293,126.314178,33.305885,249934.367,3688418.00400000,0.00000000
294,126.314176,33.305884,249934.1775,3688417.96300000,0.00000000
295,126.314174,33.305884,249933.9915,3688417.92100000,0.00000000
296,126.314172,33.305883,249933.8019,3688417.86600000,0.00000000
297,126.31417,33.305883,249933.6119,3688417.82100000,0.00000000
298,126.314168,33.305882,249933.4197,3688417.76800000,0.00000000
299,126.314166,33.305882,249933.2411,3688417.71200000,0.00000000
300,126.314164,33.305881,249933.0633,3688417.66000000,0.00000000
301,126.314162,33.305881,249932.8803,3688417.59800000,0.00000000
302,126.31416,33.30588,249932.6911,3688417.53900000,0.00000000
303,126.314158,33.30588,249932.4977,3688417.49200000,0.00000000
304,126.314156,33.305879,249932.3153,3688417.44300000,0.00000000
305,126.314154,33.305879,249932.1352,3688417.39500000,0.00000000
306,126.314152,33.305878,249931.9411,3688417.35200000,0.00000000
307,126.31415,33.305878,249931.7477,3688417.31100000,0.00000000
308,126.314148,33.305878,249931.5553,3688417.26700000,0.00000000
309,126.314146,33.305877,249931.361,3688417.22600000,0.00000000
310,126.314144,33.305877,249931.1748,3688417.18600000,0.00000000
311,126.314142,33.305876,249930.9799,3688417.14400000,0.00000000
312,126.31414,33.305876,249930.7904,3688417.09600000,0.00000000
313,126.314138,33.305875,249930.6072,3688417.03900000,0.00000000
314,126.314136,33.305875,249930.421,3688416.98100000,0.00000000
315,126.314134,33.305874,249930.2335,3688416.93700000,0.00000000
316,126.314132,33.305874,249930.048,3688416.89700000,0.00000000
317,126.31413,33.305873,249929.8636,3688416.85800000,0.00000000
318,126.314128,33.305873,249929.6781,3688416.81500000,0.00000000
319,126.314126,33.305872,249929.4964,3688416.75900000,0.00000000
320,126.314124,33.305872,249929.3016,3688416.71700000,0.00000000
321,126.314122,33.305872,249929.1115,3688416.66000000,0.00000000
322,126.31412,33.305871,249928.925,3688416.61400000,0.00000000
323,126.314118,33.305871,249928.7434,3688416.57000000,0.00000000
324,126.314116,33.30587,249928.5641,3688416.51700000,0.00000000
325,126.314114,33.30587,249928.3781,3688416.47500000,0.00000000
326,126.314112,33.305869,249928.1888,3688416.41600000,0.00000000
327,126.31411,33.305869,249927.9993,3688416.37300000,0.00000000
328,126.314108,33.305868,249927.806,3688416.33000000,0.00000000
329,126.314106,33.305868,249927.6182,3688416.28000000,0.00000000
330,126.314104,33.305867,249927.4388,3688416.22900000,0.00000000
331,126.314102,33.305867,249927.2525,3688416.18900000,0.00000000
332,126.3141,33.305866,249927.0631,3688416.13000000,0.00000000
333,126.314098,33.305866,249926.8742,3688416.07000000,0.00000000
334,126.314096,33.305865,249926.6824,3688416.02100000,0.00000000
335,126.314094,33.305865,249926.501,3688415.96100000,0.00000000
336,126.314092,33.305864,249926.3267,3688415.88500000,0.00000000
337,126.31409,33.305863,249926.1506,3688415.81500000,0.00000000
338,126.314088,33.305862,249925.9747,3688415.74100000,0.00000000
339,126.314086,33.305862,249925.8007,3688415.65900000,0.00000000
340,126.314085,33.305861,249925.6263,3688415.56900000,0.00000000
341,126.314083,33.30586,249925.4585,3688415.47800000,0.00000000
