index,Long,Lat,UTM_X,UTM_Y
0,127.078064,37.5414004,330205.4938573764,4156670.0628050063
1,127.078064,37.5414004,330205.4938573764,4156670.0628050063
2,127.07806409999999,37.5414004,330205.5026927906,4156670.062624346
3,127.078064,37.5414004,330205.4938573764,4156670.0628050063
4,127.078064,37.5414004,330205.4938573764,4156670.0628050063
5,127.078064,37.5414004,330205.4938573764,4156670.0628050063
6,127.07806409999999,37.5414004,330205.5026927906,4156670.062624346
7,127.078064,37.5414004,330205.4938573764,4156670.0628050063
8,127.07806409999999,37.5414004,330205.5026927906,4156670.062624346
9,127.078064,37.5414004,330205.4938573764,4156670.0628050063
10,127.07806409999999,37.5414004,330205.5026927906,4156670.062624346
11,127.07806409999999,37.5414004,330205.5026927906,4156670.062624346
12,127.078064,37.5414004,330205.4938573764,4156670.0628050063
13,127.078064,37.5414004,330205.4938573764,4156670.0628050063
14,127.078064,37.5414004,330205.4938573764,4156670.0628050063
15,127.078064,37.5414004,330205.4938573764,4156670.0628050063
16,127.078064,37.5414004,330205.4938573764,4156670.0628050063
17,127.078064,37.5414004,330205.4938573764,4156670.0628050063
18,127.078064,37.5414004,330205.4938573764,4156670.0628050063
19,127.078064,37.5414003,330205.49363049364,4156670.051709041
20,127.078064,37.5414004,330205.4938573764,4156670.0628050063
21,127.078064,37.5414003,330205.49363049364,4156670.051709041
22,127.07806389999999,37.5414003,330205.4847950749,4156670.0518897017
23,127.078064,37.5414004,330205.4938573764,4156670.0628050063
24,127.078064,37.5414003,330205.49363049364,4156670.051709041
25,127.078064,37.5414004,330205.4938573764,4156670.0628050063
26,127.078064,37.5414004,330205.4938573764,4156670.0628050063
27,127.078064,37.5414004,330205.4938573764,4156670.0628050063
28,127.078064,37.5414004,330205.4938573764,4156670.0628050063
29,127.078064,37.5414004,330205.4938573764,4156670.0628050063
30,127.078064,37.5414003,330205.49363049364,4156670.051709041
31,127.0780638,37.5414001,330205.475505893,4156670.0298784343
32,127.0780635,37.5413997,330205.4480921125,4156669.986036559
33,127.078063,37.5413992,330205.4027806156,4156669.9314600406
34,127.0780624,37.5413986,330205.3484068164,4156669.865968219
35,127.0780616,37.5413979,330205.2761352999,4156669.7897417545
36,127.07806099999999,37.541396999999996,330205.2210808519,4156669.6909620413
