index,Long,Lat,UTM_X,UTM_Y
0,127.07810409999999,37.541407299999996,330209.0525140272,4156670.7559824106
1,127.07810409999999,37.5414074,330209.0527409052,4156670.767078376
2,127.07810409999999,37.541407299999996,330209.0525140272,4156670.7559824106
3,127.07810409999999,37.541407299999996,330209.0525140272,4156670.7559824106
4,127.07810409999999,37.541407299999996,330209.0525140272,4156670.7559824106
5,127.07810409999999,37.541407299999996,330209.0525140272,4156670.7559824106
6,127.078104,37.541407199999995,330209.04345173365,4156670.745067103
7,127.07810389999999,37.541407199999995,330209.034616318,4156670.7452477594
8,127.0781037,37.541407199999995,330209.0169454868,4156670.745609073
9,127.0781035,37.5414071,330208.9990477774,4156670.7348744236
10,127.07810309999999,37.5414071,330208.9637061127,4156670.735597051
11,127.07810269999999,37.541407,330208.928137572,4156670.7252237154
12,127.07810239999999,37.541407,330208.901631325,4156670.725765686
13,127.078102,37.5414069,330208.8660627842,4156670.7153923484
14,127.07810149999999,37.5414069,330208.8218857037,4156670.7162956335
15,127.0781006,37.5414068,330208.74214008206,4156670.706825583
16,127.07809999999999,37.5414065,330208.68844695267,4156670.6746216337
17,127.0780992,37.5414064,330208.6175367462,4156670.664970928
18,127.0780985,37.5414064,330208.55568883615,4156670.6662355294
19,127.0780977,37.5414062,330208.4845517506,4156670.645488858
20,127.078097,37.5414063,330208.422930717,4156670.6578494254
21,127.07809639999999,37.541406099999996,330208.3694644647,4156670.636741441
22,127.07809549999999,37.541406099999996,330208.2899457207,4156670.638367359
23,127.0780947,37.541405999999995,330208.21903551323,4156670.6287166546
24,127.0780941,37.541406099999996,330208.16624989774,4156670.640896566
25,127.07809329999999,37.541406099999996,330208.09556656936,4156670.642341829
26,127.0780927,37.5414059,330208.04210031615,4156670.621233847
27,127.07809189999999,37.5414059,330207.97141698754,4156670.62267911
28,127.07809119999999,37.5414059,330207.90956907475,4156670.6239437163
29,127.0780904,37.5414058,330207.8386588688,4156670.6142930174
30,127.07808949999999,37.5414058,330207.7591401243,4156670.6159189404
