index,x,y
120,360895.541311988,4065943.95499368
121,360890.233734271,4065942.98997955
122,360887.017020503,4065941.70329404
123,360883.156963982,4065940.09493716
124,360878.653564707,4065939.45159441
125,360873.989329744,4065937.68240183
126,360870.933451665,4065933.17900256
127,360867.073395143,4065930.92730292
128,360865.465038259,4065927.38891778
129,360863.856681376,4065923.36802557
130,360860.47913192,4065919.82964042
131,360858.066596594,4065916.45209097
132,360856.45823971,4065911.62702031
133,360856.45823971,4065908.08863517
134,360855.814896956,4065902.45938608
135,360855.814896956,4065898.27765818
136,360856.779911087,4065894.09593028
137,360857.744925217,4065889.59253101
138,360859.031610724,4065886.53665293
139,360861.765817427,4065882.99826778
140,360863.695845687,4065878.97737557
141,360864.821695506,4065874.95648336
142,360867.555902209,4065871.57893391
143,360869.968437534,4065869.64890565
144,360872.541808549,4065867.71887738
145,360875.276015251,4065864.82383499
146,360878.331893331,4065862.41129967
147,360881.38777141,4065859.99876434
148,360884.121978112,4065858.22957177
149,360887.660363257,4065857.58622902
150,360891.037912713,4065856.29954351
151,360894.737133546,4065855.33452938
152,360897.953847314,4065854.69118663
153,360948.617089156,4065909.53615637
154,360949.099596221,4065909.69699205
155,360949.582103286,4065909.53615637
156,360950.547117417,4065909.69699205
157,360951.351295859,4065910.34033481
158,360950.707953105,4065909.85782774
159,360951.672967235,4065910.17949912
160,360952.637981366,4065910.34033481
161,360952.959652742,4065910.82284187
162,360930.120984991,4065932.85733118
163,360930.120984991,4065932.85733118
164,360930.764327745,4065933.33983825
165,360931.568506187,4065933.50067393
166,360931.890177564,4065933.82234531
167,360932.533520317,4065934.30485238
168,360932.855191694,4065934.78735944
169,360933.498534447,4065935.10903082
170,360933.498534447,4065935.4307022
171,360933.820205824,4065935.59153788
172,360934.302712889,4065935.75237357
173,360934.624384266,4065936.07404495
174,360909.212345501,4065948.61922864
175,360909.373181189,4065949.2625714
176,360909.534016878,4065949.74507846
177,360909.534016878,4065950.22758553
178,360909.694852566,4065950.87092828
179,360909.855688255,4065951.51427104
180,360909.855688255,4065952.31844948
181,360910.016523943,4065952.96179223
182,360889.429555829,4065949.58424277
183,360889.429555829,4065950.22758553
184,360889.429555829,4065950.5492569
185,360889.429555829,4065950.87092828
186,360889.429555829,4065951.51427104
187,360889.429555829,4065951.51427104
188,360889.429555829,4065952.15761379
189,360889.590391518,4065952.31844948
190,360889.590391518,4065952.47928517
191,360889.751227206,4065952.96179223
192,360889.751227206,4065952.96179223
193,360889.751227206,4065953.4442993
194,360867.716737897,4065937.03905908
195,360867.555902209,4065937.36073046
196,360868.520916339,4065936.39571633
197,360868.36008065,4065937.03905908
198,360868.681752027,4065936.55655201
199,360869.003423404,4065936.39571633
200,360869.164259092,4065935.91320926
201,360869.485930469,4065935.59153788
202,360869.646766158,4065935.59153788
203,360869.807601846,4065935.4307022
204,360869.968437534,4065935.10903082
205,360870.450944599,4065934.78735944
206,360870.450944599,4065934.62652375
207,360870.611780288,4065934.14401669
208,360853.080690254,4065925.6197252
209,360853.884868696,4065925.29805383
210,360853.884868696,4065925.29805383
211,360854.528211449,4065924.81554676
212,360854.528211449,4065924.81554676
213,360854.689047138,4065924.65471107
214,360855.010718514,4065924.49387539
215,360855.493225579,4065924.3330397
216,360855.975732645,4065923.85053263
217,360856.297404021,4065923.52886126
218,360883.317799671,4065853.40450112
219,360883.317799671,4065854.20867956
220,360883.156963982,4065854.69118663
221,360883.478635359,4065855.17369369
222,360883.800306736,4065856.13870782
223,360883.800306736,4065856.13870782
224,360883.961142424,4065857.10372195
225,360884.282813801,4065857.42539333
226,360883.800306736,4065855.97787213
227,360883.961142424,4065854.69118663
228,360908.086495682,4065851.15280148
229,360907.925659994,4065851.47447286
230,360908.086495682,4065852.43948699
231,360907.764824305,4065852.76115836
232,360907.443152929,4065853.24366543
233,360907.28231724,4065853.56533681
234,360907.121481552,4065854.20867956
235,360907.121481552,4065854.36951525
236,360906.638974487,4065854.85202231
237,360906.638974487,4065855.17369369
